---Français---,---SG1---,---SG2---,---SG3---,---PL1---,----PL2----,---PL3---,---English---,
être,suis,es,est,sommes,êtes,sont,be,
aller,vais,vas,va,allons,allez,vont,go,
avoir,ai,as,a,avons,avez,ont,have,
asseoir,assieds,assieds,assied,asseyons,asseyez,asseyent,sit,
faire,fais,fais,fait,faisons,faites,font,do,
vouloir,veux,veux,veut,voulons,voulez,veulent,want,
savoir,sais,sais,sait,savons,savez,savent,know,
haïr,hais,hais,hait,haïssons,haïssez,haïssent,hate,
écrire,écris,écris,écrit,écrivons,écrivez,écrivent,write,
lire,lis,lis,lit,lisons,lisez,lisent,read,
aimer,aime,aimes,aime,aimons,aimez,aiment,love,
lever,lève,lèves,lève,levons,levez,lèvent,lift,
comprendre,comprends,comprends,comprend,comprenons,comprenez,comprennent,understood,
répondre,réponds,réponds,répond,répondons,répondez,répondent,response,
