---Tags---,---Meanings---,
<a>,Anchor,
<area>,Area for image mapping,
<b>,Bold text,
<big>,Bigger text,
<blockquote>,Quotation Block,
<body>,Body or main part,
<br>,Newline,
<button>,Button,
<caption>,Caption,
<code>,Computer code,
<col>,Column style,
<colG>,Column group,
<dd>,Definition list definition,
<dl>,Definition list,
<dt>,Definition list item,
<em>,Emphasized text,
<fieldset>,Circumscribe around elements,
<form>,Form,
<frame>,Frame,
<frameS>,Frame set,
<h[1-6]>,Headline,
<head>,Document's Information,
<hr>,Horizontal line,
<html>,HTM file,
<i>,Italic text,
<iframes>,Internal frame,
<img>,Image,
<input>,Input box,
<kbd>,Keyboard text,
<label>,Label form elements,
<legend>,Entitle form groups,
<li>,List element,
<link>,Hyperlink,
<map>,Image mapping or hyperlinks,
<meta>,Meta-information,
<object>,Embedded object,
<ol>,Ordered list,
<optgroup>,Option group,
<option>,Option,
<p>,Paragraph,
<param>,Parameter,
<pre>,Preformatted Text,
<samp>,Computer code sample,
<script>,Script like Javascript,
<select>,Selection list,
<small>,Smaller text,
<strong>,Stronger text,
<sub>,Subscript,
<sup>,Superscript,
<table>,Table,
<tbody>,Table body,
<td>,Table cells,
<textarea>,Text input Area,
<tfoot>,Table foot,
<th>,Table headline,
<thead>,Table head,
<title>,Title,
<tr>,Table rows,
<tt>,Mono-space text,
<ul>,Unordered list,
<var>,Variate,
<!--*-->,Explanation,
